Event,Species,Gear,PCG,Duration,Day,Month,Year,Date,Latitude,Longitude,StationDepth,StationType,Abundance,Temp
2002-6,A244,324,P05020039324,128,19,6,2002,19-Jun-02,30.41828,-80.21165,58,,0,22.43
2002-38,A244,324,P05020226324,98,23,7,2002,23-Jul-02,32.5984,-79.22546,29,,0,24.04
2002-56,A244,324,P05020341324,108,26,8,2002,26-Aug-02,33.48423,-78.25383,22,,0,28.33
2002-56,A244,324,P05020342324,106,26,8,2002,26-Aug-02,33.48763,-78.25285,23,,0,28.33
2002-57,A244,324,P05020344324,100,27,8,2002,27-Aug-02,33.85467,-77.27007,30,,0,24.04
2002-57,A244,324,P05020345324,99,27,8,2002,27-Aug-02,33.85045,-77.26875,31,,0,24.04
2002-59,A244,324,P05020361324,94,27,8,2002,27-Aug-02,33.82235,-77.2759,29,,0,23.99
2002-59,A244,324,P05020363324,85,27,8,2002,27-Aug-02,33.81483,-77.27492,30,,0,23.99
2002-73,A244,324,P05020372324,97,24,9,2002,24-Sep-02,33.73195,-77.29124,30,,0,27.15
2002-73,A244,324,P05020374324,82,24,9,2002,24-Sep-02,33.73527,-77.29013,28,,0,27.15
2002-73,A244,324,P05020375324,78,24,9,2002,24-Sep-02,33.73755,-77.28855,30,,0,27.15
2002-73,A244,324,P05020376324,77,24,9,2002,24-Sep-02,33.74147,-77.28627,30,,0,27.15
2002-73,A244,324,P05020377324,70,24,9,2002,24-Sep-02,33.74358,-77.29308,32,,0,27.15
2003-4,A244,324,P05030022324,91,4,6,2003,04-Jun-03,30.76,-80.21333,41,,0,19.69
2003-19,A244,324,P05030121324,103,11,6,2003,11-Jun-03,30.41895,-80.21188,51,,0,17.85
2003-21,A244,324,P05030132324,99,15,7,2003,15-Jul-03,33.28819,-78.45983,23,,0,21.33
2003-21,A244,324,P05030137324,119,15,7,2003,15-Jul-03,33.29478,-78.43674,23,,0,21.33
2003-26,A244,324,P05030167324,102,17,7,2003,17-Jul-03,33.74408,-77.29377,31,,0,19.82
2003-26,A244,324,P05030168324,104,17,7,2003,17-Jul-03,33.74285,-77.2895,32,,0,19.82
2003-26,A244,324,P05030169324,127,17,7,2003,17-Jul-03,33.74168,-77.28587,30,,0,19.82
2003-26,A244,324,P05030170324,109,17,7,2003,17-Jul-03,33.73713,-77.28831,30,,0,19.82
2003-26,A244,324,P05030171324,105,17,7,2003,17-Jul-03,33.73523,-77.29113,28,,0,19.82
2003-26,A244,324,P05030172324,97,17,7,2003,17-Jul-03,33.73048,-77.2883,29,,0,19.82
2003-27,A244,324,P05030176324,107,17,7,2003,17-Jul-03,33.81455,-77.27192,31,,0,19.69
2003-31,A244,324,P05030202324,97,20,7,2003,20-Jul-03,34.32588,-76.89357,24,,0,20.73
2003-31,A244,324,P05030203324,96,20,7,2003,20-Jul-03,34.32167,-76.8947,24,,0,20.73
2003-31,A244,324,P05030207324,94,20,7,2003,20-Jul-03,34.31178,-76.8896,24,,0,20.73
2003-35,A244,324,P05030231324,91,5,8,2003,05-Aug-03,32.2531,-79.69418,26,,0,17.42
2003-54,A244,324,P05030360324,103,27,8,2003,27-Aug-03,32.69175,-78.54878,49,,0,18.44
2003-62,A244,324,P05030396324,89,22,9,2003,22-Sep-03,32.51263,-79.70116,17,,0,25.08
2003-62,A244,324,P05030399324,78,22,9,2003,22-Sep-03,32.50834,-79.705,16,,0,25.08
2004-3,A244,324,P05040015324,101,5,5,2004,05-May-04,32.34,-79.05666,52,,0,19.39
2004-3,A244,324,P05040016324,103,5,5,2004,05-May-04,32.34,-79.05,49,,0,19.39
2004-6,A244,324,P05040041324,111,6,5,2004,06-May-04,32.425,-78.97667,43,,0,20.25
2004-9,A244,324,P05040055324,96,7,5,2004,07-May-04,32.08,-79.235,75,,0,18.42
2004-9,A244,324,P05040056324,100,7,5,2004,07-May-04,32.08,-79.23833,73,,0,18.42
2004-9,A244,324,P05040059324,97,7,5,2004,07-May-04,32.075,-79.24167,75,,0,18.42
2004-23,A244,324,P05040070324,100,18,5,2004,18-May-04,31.44,-80.35167,33,,0,22.02
2004-25,A244,324,P05040079324,91,25,5,2004,25-May-04,32.50667,-79.70834,16,,0,22.64
2004-27,A244,324,P05040090324,92,26,5,2004,26-May-04,32.28667,-79.73,24,,0,22.80
2004-28,A244,324,P05040097324,96,26,5,2004,26-May-04,32.23667,-79.685,29,,0,22.80
2004-29,A244,324,P05040105324,103,26,5,2004,26-May-04,32.49333,-79.695,16,,0,22.85
2004-29,A244,324,P05040106324,103,26,5,2004,26-May-04,32.495,-79.69,16,,0,22.85
2004-33,A244,324,P05040135324,98,3,6,2004,03-Jun-04,32.76,-78.435,50,,0,18.36
2004-64,A244,324,P05040274324,93,14,7,2004,14-Jul-04,30.05667,-80.27666,52,,0,17.83
2004-66,A244,324,P05040287324,79,14,7,2004,14-Jul-04,29,-80.28167,52,,0,17.80
2004-67,A244,324,P05040295324,101,20,7,2004,20-Jul-04,33.28333,-78.47166,24,,0,23.46
2004-69,A244,324,P05040309324,98,20,7,2004,20-Jul-04,33.475,-78.25333,21,,0,25.22
2004-73,A244,324,P05040334324,105,21,7,2004,21-Jul-04,33.96667,-76.785,34,,0,23.95
2004-75,A244,324,P05040342324,91,22,7,2004,22-Jul-04,33.85333,-77.27,30,,0,25.75
2004-75,A244,324,P05040343324,92,22,7,2004,22-Jul-04,33.85,-77.27,31,,0,25.75
2004-75,A244,324,P05040346324,88,22,7,2004,22-Jul-04,33.84,-77.265,30,,0,25.75
2004-76,A244,324,P05040350324,94,22,7,2004,22-Jul-04,33.82833,-77.27,30,,0,25.70
2004-76,A244,324,P05040354324,84,22,7,2004,22-Jul-04,33.81167,-77.27,28,,0,25.70
2005-3,A244,324,P05050017324,88,3,5,2005,03-May-05,32.06777,-79.40343,45,,0,20.38
2005-3,A244,324,P05050018324,83,3,5,2005,03-May-05,32.06868,-79.40248,45,,0,20.38
2005-3,A244,324,P05050019324,81,3,5,2005,03-May-05,32.07035,-79.40078,45,,0,20.38
2005-7,A244,324,P05050043324,90,17,5,2005,17-May-05,32.8016,-78.78696,30,,0,21.48
2005-10,A244,324,P05050064324,88,18,5,2005,18-May-05,33.73172,-77.29183,29,,0,18.36
2005-10,A244,324,P05050065324,88,18,5,2005,18-May-05,33.73535,-77.29153,30,,0,18.36
2005-10,A244,324,P05050069324,113,18,5,2005,18-May-05,33.73565,-77.26244,30,,0,18.36
2005-18,A244,324,P05050120324,88,14,6,2005,14-Jun-05,30.41938,-80.21246,49,,0,17.96
2005-22,A244,324,P05050144324,86,16,6,2005,16-Jun-05,27.8744,-80.15372,28,,0,18.32
2005-22,A244,324,P05050145324,93,16,6,2005,16-Jun-05,27.86872,-80.15237,28,,0,18.32
2005-28,A244,324,P05050188324,77,27,6,2005,27-Jun-05,32.50638,-79.70935,15,,0,25.73
2005-30,A244,324,P05050198324,95,28,6,2005,28-Jun-05,33.26737,-78.44462,24,,0,24.54
2005-31,A244,324,P05050209324,101,28,6,2005,28-Jun-05,33.48278,-78.25359,22,,0,24.70
2005-31,A244,324,P05050210324,101,28,6,2005,28-Jun-05,33.48707,-78.25165,24,,0,24.70
2005-34,A244,324,P05050224324,106,29,6,2005,29-Jun-05,32.41022,-78.98888,50,,0,22.65
2005-34,A244,324,P05050225324,106,29,6,2005,29-Jun-05,32.41353,-78.98538,48,,0,22.65
2005-34,A244,324,P05050228324,93,29,6,2005,29-Jun-05,32.41872,-78.98068,46,,0,22.65
2005-39,A244,324,P05050248324,114,30,6,2005,30-Jun-05,32.58815,-79.15833,33,,0,23.56
2005-45,A244,324,P05050289324,104,20,7,2005,20-Jul-05,34.31203,-76.89073,24,,0,23.81
2005-46,A244,324,P05050297324,102,20,7,2005,20-Jul-05,34.26873,-76.81775,26,,0,23.35
2005-47,A244,324,P05050301324,92,20,7,2005,20-Jul-05,33.96449,-76.77129,35,,0,25.29
2005-47,A244,324,P05050303324,97,20,7,2005,20-Jul-05,33.95855,-76.76665,36,,0,25.29
2005-53,A244,324,P05050344324,100,16,8,2005,16-Aug-05,31.43558,-80.34697,34,,0,26.06
2005-59,A244,324,P05050371324,91,18,8,2005,18-Aug-05,31.74187,-80.17966,28,,0,26.58
2005-70,A244,324,P05050375324,112,20,9,2005,20-Sep-05,32.59858,-79.22445,27,,0,26.27
2006-12,A244,324,P05060088324,94,8,6,2006,08-Jun-06,27.88232,-80.15873,26,,0,21.06
2006-24,A244,324,P05060148324,101,21,6,2006,21-Jun-06,33.74425,-77.29314,31,,0,23.05
2006-24,A244,324,P05060150324,106,21,6,2006,21-Jun-06,33.74122,-77.28533,29,,0,23.05
2006-24,A244,324,P05060152324,107,21,6,2006,21-Jun-06,33.73798,-77.28838,30,,0,23.05
2006-24,A244,324,P05060154324,108,21,6,2006,21-Jun-06,33.73555,-77.29183,29,,0,23.05
2006-24,A244,324,P05060158324,114,21,6,2006,21-Jun-06,33.73087,-77.2904,28,,0,23.05
2006-46,A244,324,P05060320324,100,11,7,2006,11-Jul-06,34.32141,-76.89485,24,,0,25.24
2006-46,A244,324,P05060322324,102,11,7,2006,11-Jul-06,34.3212,-76.88907,24,,0,25.24
2006-47,A244,324,P05060335324,99,11,7,2006,11-Jul-06,34.26517,-76.81873,27,,0,24.13
2006-47,A244,324,P05060337324,100,11,7,2006,11-Jul-06,34.26878,-76.81613,26,,0,24.13
2006-47,A244,324,P05060339324,102,11,7,2006,11-Jul-06,34.27337,-76.8152,27,,0,24.13
2006-72,A244,324,P05060495324,104,2,8,2006,02-Aug-06,31.53588,-79.72168,68,,0,17.34
2006-82,A244,324,P05060547324,89,3,8,2006,03-Aug-06,31.74113,-80.21778,30,,0,25.62
2006-102,A244,324,P05060577324,98,26,9,2006,26-Sep-06,33.47272,-78.25277,21,,0,26.03
2006-102,A244,324,P05060581324,99,26,9,2006,26-Sep-06,33.48697,-78.25101,22,,0,26.03
2006-102,A244,324,P05060582324,100,26,9,2006,26-Sep-06,33.49425,-78.25407,21,,0,26.03
2007-2,A244,324,P05070010324,98,21,5,2007,21-May-07,32.49097,-79.68273,16,,0,21.77
2007-13,A244,324,P05070078324,91,8,6,2007,08-Jun-07,34.27888,-76.83652,26,,0,24.46
2007-13,A244,324,P05070080324,87,8,6,2007,08-Jun-07,34.28182,-76.84355,26,,0,24.46
2007-14,A244,324,P05070082324,101,8,6,2007,08-Jun-07,34.2744,-76.81696,26,,0,25.22
2007-14,A244,324,P05070083324,102,8,6,2007,08-Jun-07,34.26847,-76.81875,27,,0,25.22
2007-14,A244,324,P05070084324,105,8,6,2007,08-Jun-07,34.26468,-76.8203,27,,0,25.22
2007-15,A244,324,P05070089324,92,8,6,2007,08-Jun-07,34.32608,-76.89298,24,,0,24.15
2007-15,A244,324,P05070091324,91,8,6,2007,08-Jun-07,34.32005,-76.89765,24,,0,24.15
2007-15,A244,324,P05070092324,95,8,6,2007,08-Jun-07,34.3148,-76.89712,24,,0,24.15
2007-15,A244,324,P05070093324,97,8,6,2007,08-Jun-07,34.31347,-76.89162,24,,0,24.15
2007-15,A244,324,P05070094324,101,8,6,2007,08-Jun-07,34.31333,-76.88707,24,,0,24.15
2007-35,A244,324,P05070197324,88,20,6,2007,20-Jun-07,32.58933,-79.22366,33,,0,25.30
2007-52,A244,324,P05070289324,92,19,7,2007,19-Jul-07,27.46838,-80.07796,21,,0,15.33
2007-65,A244,324,P05070358324,92,7,8,2007,07-Aug-07,32.26617,-79.047,90,,0,16.37
2007-77,A244,324,P05070430324,84,22,8,2007,22-Aug-07,33.82273,-77.2766,29,,0,23.56
2007-78,A244,324,P05070436324,81,22,8,2007,22-Aug-07,33.85193,-77.2693,28,,0,23.59
2007-79,A244,324,P05070442324,106,22,8,2007,22-Aug-07,33.79642,-77.6396,23,,0,24.32
2007-79,A244,324,P05070443324,108,22,8,2007,22-Aug-07,33.8054,-77.64297,22,,0,24.32
2007-79,A244,324,P05070445324,112,22,8,2007,22-Aug-07,33.81158,-77.64765,24,,0,24.32
2007-79,A244,324,P05070446324,106,22,8,2007,22-Aug-07,33.81492,-77.6456,24,,0,24.32
2008-11,A244,324,P05080062324,88,14,5,2008,14-May-08,32.50792,-79.70576,15,,0,21.30
2008-23,A244,324,P05080120324,93,7,6,2008,07-Jun-08,27.45433,-80.07079,21,,0,18.66
2008-24,A244,324,P05080126324,91,7,6,2008,07-Jun-08,27.2771,-80.02327,41,,0,15.23
2008-37,A244,324,P05080167324,89,10,6,2008,10-Jun-08,30.04343,-80.27815,52,,0,16.67
2008-45,A244,324,P05080212324,92,8,7,2008,08-Jul-08,33.73988,-77.2883,30,,0,22.03
2008-45,A244,324,P05080214324,92,8,7,2008,08-Jul-08,33.73345,-77.2915,28,,0,22.03
2008-45,A244,324,P05080216324,92,8,7,2008,08-Jul-08,33.72812,-77.29166,28,,0,22.03
2008-46,A244,324,P05080219324,93,8,7,2008,08-Jul-08,33.83208,-77.27047,29,,0,22.29
2008-47,A244,324,P05080229324,91,8,7,2008,08-Jul-08,33.8408,-77.26569,31,,0,22.75
2008-49,A244,324,P05080237324,104,9,7,2008,09-Jul-08,34.32673,-76.89523,24,,0,23.33
2008-49,A244,324,P05080238324,97,9,7,2008,09-Jul-08,34.32322,-76.896,24,,0,23.33
2008-49,A244,324,P05080239324,90,9,7,2008,09-Jul-08,34.31853,-76.89793,23,,0,23.33
2008-49,A244,324,P05080240324,85,9,7,2008,09-Jul-08,34.31368,-76.89777,24,,0,23.33
2008-49,A244,324,P05080241324,85,9,7,2008,09-Jul-08,34.30962,-76.89204,23,,0,23.33
2008-49,A244,324,P05080242324,115,9,7,2008,09-Jul-08,34.31441,-76.88762,23,,0,23.33
2008-50,A244,324,P05080246324,93,9,7,2008,09-Jul-08,34.26522,-76.81921,28,,0,23.77
2008-50,A244,324,P05080248324,92,9,7,2008,09-Jul-08,34.2554,-76.80673,28,,0,23.77
2008-51,A244,324,P05080251324,88,11,7,2008,11-Jul-08,34.57875,-76.94894,15,,0,24.09
2008-53,A244,324,P05080267324,95,12,7,2008,12-Jul-08,33.47573,-78.25218,22,,0,21.80
2008-53,A244,324,P05080268324,97,12,7,2008,12-Jul-08,33.48305,-78.25375,22,,0,21.80
2008-53,A244,324,P05080270324,100,12,7,2008,12-Jul-08,33.49477,-78.25485,23,,0,21.80
2008-56,A244,324,P05080280324,92,13,7,2008,13-Jul-08,33.28612,-78.4608,23,,0,21.37
2008-72,A244,324,P05080385324,107,12,8,2008,12-Aug-08,32.71457,-78.52835,44,,0,20.96
2008-74,A244,324,P05080398324,89,26,8,2008,26-Aug-08,33.2939,-78.437,22,,0,26.50
2008-74,A244,324,P05080403324,108,26,8,2008,26-Aug-08,33.29053,-78.45905,23,,0,26.50
2008-90,A244,324,P05080496324,89,29,9,2008,29-Sep-08,31.0494,-80.03722,46,,0,27.23
1990-14,A244,324,P05901111324,105,26,4,1990,26-Apr-90,32.23829,-79.69043,29,,0,20.02
1990-18,A244,324,P05901139324,104,7,5,1990,07-May-90,32.5974,-79.22369,30,,0,20.94
1990-50,A244,324,P05901283324,98,6,6,1990,06-Jun-90,33.74345,-77.25602,35,,0,
1990-53,A244,324,P05901303324,96,7,6,1990,07-Jun-90,33.48167,-78.245,26,,0,23.76
1990-81,A244,324,P05901464324,80,22,6,1990,22-Jun-90,32.78679,-78.63023,33,,0,
1991-30,A244,324,P05911146324,91,11,7,1991,11-Jul-91,34.2792,-76.82245,27,,0,25.84
1991-30,A244,324,P05911147324,91,11,7,1991,11-Jul-91,34.27948,-76.82955,27,,0,25.84
1991-30,A244,324,P05911148324,96,11,7,1991,11-Jul-91,34.27923,-76.8352,27,,0,25.84
1991-33,A244,324,P05911167324,88,12,7,1991,12-Jul-91,33.8882,-77.29324,27,,0,25.81
1991-33,A244,324,P05911168324,88,12,7,1991,12-Jul-91,33.88665,-77.29623,29,,0,25.81
1991-33,A244,324,P05911169324,84,12,7,1991,12-Jul-91,33.89013,-77.29712,27,,0,25.81
1991-43,A244,324,P05911225324,227,31,7,1991,31-Jul-91,30.43407,-80.22144,49,,0,
1991-56,A244,324,P05911277324,98,15,8,1991,15-Aug-91,30.86402,-80.61035,34,,0,25.22
1991-56,A244,324,P05911278324,98,15,8,1991,15-Aug-91,30.86325,-80.6109,35,,0,25.22
1991-56,A244,324,P05911279324,104,15,8,1991,15-Aug-91,30.86258,-80.61192,35,,0,25.22
1991-95,A244,324,P05911465324,114,24,9,1991,24-Sep-91,32.63303,-79.1218,29,,0,26.55
1991-95,A244,324,P05911466324,107,24,9,1991,24-Sep-91,32.63365,-79.12315,29,,0,26.55
1991-95,A244,324,P05911467324,101,24,9,1991,24-Sep-91,32.63565,-79.12503,27,,0,26.55
1991-95,A244,324,P05911468324,94,24,9,1991,24-Sep-91,32.63735,-79.12521,27,,0,26.55
1992-47,A244,324,P05921253324,106,16,6,1992,16-Jun-92,33.85283,-77.29456,31,,0,22.61
1992-48,A244,324,P05921256324,93,17,6,1992,17-Jun-92,34.27923,-76.8352,29,,0,
1992-48,A244,324,P05921257324,95,17,6,1992,17-Jun-92,34.27988,-76.83051,29,,0,
1992-48,A244,324,P05921258324,98,17,6,1992,17-Jun-92,34.2792,-76.82245,29,,1,
1992-49,A244,324,P05921264324,103,17,6,1992,17-Jun-92,34.2712,-76.82169,29,,0,21.15
1993-9,A244,324,P05930047324,97,12,5,1993,12-May-93,32.34525,-79.0448,48,,0,21.11
1993-24,A244,324,P05930118324,103,26,5,1993,26-May-93,32.45167,-78.945,51,,0,20.18
1993-46,A244,324,P05930230324,96,10,6,1993,10-Jun-93,32.8533,-78.2521,55,,0,19.29
1993-51,A244,324,P05930259324,93,21,6,1993,21-Jun-93,32.59834,-79.22334,31,,0,23.12
1993-54,A244,324,P05930279324,94,22,6,1993,22-Jun-93,33.74,-77.27666,31,,0,27.37
1993-54,A244,324,P05930280324,99,22,6,1993,22-Jun-93,33.73833,-77.275,31,,0,27.37
1993-57,A244,324,P05930298324,93,23,6,1993,23-Jun-93,34.27833,-76.82166,29,,0,23.78
1993-58,A244,324,P05930306324,88,23,6,1993,23-Jun-93,34.31823,-76.896,26,,0,22.71
1993-86,A244,324,P05930463324,109,22,7,1993,22-Jul-93,31.59475,-80.787,20,,0,28.16
1993-86,A244,324,P05930464324,112,22,7,1993,22-Jul-93,31.59222,-80.7893,20,,0,28.16
1993-91,A244,324,P05930499324,104,9,8,1993,09-Aug-93,31.68333,-80.345,29,,0,24.14
1993-93,A244,324,P05930505324,100,10,8,1993,10-Aug-93,30.44915,-80.20473,51,,0,18.92
1994-1,A244,324,P05940003324,90,9,5,1994,09-May-94,32.50834,-79.70667,18,,0,21.94
1994-2,A244,324,P05940008324,92,9,5,1994,09-May-94,32.49166,-79.705,18,,0,22.06
1994-8,A244,324,P05940044324,89,10,5,1994,10-May-94,32.27095,-79.1596,53,,0,21.70
1994-9,A244,324,P05940050324,109,10,5,1994,10-May-94,32.27869,-79.153,53,,0,21.83
1994-11,A244,324,P05940059324,87,11,5,1994,11-May-94,32.47667,-78.83,57,,0,20.08
1994-11,A244,324,P05940061324,96,11,5,1994,11-May-94,32.48234,-78.8201,53,,0,20.08
1994-12,A244,324,P05940068324,103,11,5,1994,11-May-94,32.48142,-78.8174,57,,0,20.74
1994-12,A244,324,P05940070324,107,11,5,1994,11-May-94,32.48789,-78.8154,51,,0,20.74
1994-13,A244,324,P05940075324,92,11,5,1994,11-May-94,32.48563,-78.815,51,,0,20.79
1994-14,A244,324,P05940081324,99,11,5,1994,11-May-94,32.48667,-78.83167,51,,0,21.26
1994-14,A244,324,P05940083324,99,11,5,1994,11-May-94,32.49166,-78.83667,49,,0,21.26
1994-14,A244,324,P05940084324,105,11,5,1994,11-May-94,32.49166,-78.83667,51,,0,21.26
1994-19,A244,324,P05940110324,93,12,5,1994,12-May-94,32.59108,-79.1441,35,,0,21.66
1994-20,A244,324,P05940114324,85,12,5,1994,12-May-94,32.59834,-79.22334,31,,0,21.68
1994-35,A244,324,P05940207324,107,7,6,1994,07-Jun-94,32.7695,-78.6411,35,,0,23.90
1994-35,A244,324,P05940208324,108,7,6,1994,07-Jun-94,32.7751,-78.6436,35,,0,23.90
1994-40,A244,324,P05940234324,104,21,6,1994,21-Jun-94,32.8515,-78.2499,49,,0,23.16
1994-40,A244,324,P05940235324,104,21,6,1994,21-Jun-94,32.85226,-78.2472,51,,0,23.16
1994-41,A244,324,P05940242324,98,21,6,1994,21-Jun-94,32.85161,-78.2493,49,,0,21.32
1994-47,A244,324,P05940278324,103,22,6,1994,22-Jun-94,32.26947,-79.1605,53,,0,21.94
1994-49,A244,324,P05940289324,91,23,6,1994,23-Jun-94,32.35667,-79.05,51,,0,21.39
1994-49,A244,324,P05940293324,99,23,6,1994,23-Jun-94,32.34167,-79.05,51,,0,21.39
1994-54,A244,324,P05940328324,73,12,7,1994,12-Jul-94,30.75167,-80.21333,44,,0,20.89
1994-61,A244,324,P05940368324,90,13,7,1994,13-Jul-94,31.44167,-80.35833,35,,0,22.17
1994-61,A244,324,P05940369324,93,13,7,1994,13-Jul-94,31.44333,-80.36333,35,,1,22.17
1994-61,A244,324,P05940370324,97,13,7,1994,13-Jul-94,31.44333,-80.36667,35,,0,22.17
1994-61,A244,324,P05940371324,98,13,7,1994,13-Jul-94,31.44,-80.37,35,,0,22.17
1994-61,A244,324,P05940372324,103,13,7,1994,13-Jul-94,31.43833,-80.37,35,,0,22.17
1994-61,A244,324,P05940373324,102,13,7,1994,13-Jul-94,31.43333,-80.36667,35,,0,22.17
1994-68,A244,324,P05940404324,92,26,7,1994,26-Jul-94,33.81667,-77.64333,26,,0,26.57
1994-68,A244,324,P05940405324,109,26,7,1994,26-Jul-94,33.81333,-77.64,24,,0,26.57
1994-68,A244,324,P05940407324,91,26,7,1994,26-Jul-94,33.81,-77.64667,22,,0,26.57
1994-68,A244,324,P05940408324,103,26,7,1994,26-Jul-94,33.80667,-77.64167,26,,0,26.57
1994-68,A244,324,P05940409324,106,26,7,1994,26-Jul-94,33.79667,-77.63834,24,,0,26.57
1994-69,A244,324,P05940411324,101,26,7,1994,26-Jul-94,33.745,-77.29166,33,,0,26.66
1994-69,A244,324,P05940413324,98,26,7,1994,26-Jul-94,33.73833,-77.28833,31,,0,26.66
1994-69,A244,324,P05940414324,96,26,7,1994,26-Jul-94,33.73333,-77.29,31,,0,26.66
1994-69,A244,324,P05940415324,97,26,7,1994,26-Jul-94,33.73167,-77.28833,31,,0,26.66
1994-69,A244,324,P05940416324,95,26,7,1994,26-Jul-94,33.72833,-77.28833,31,,0,26.66
1994-70,A244,324,P05940418324,100,26,7,1994,26-Jul-94,33.74333,-77.28833,31,,0,26.68
1994-70,A244,324,P05940423324,105,26,7,1994,26-Jul-94,33.735,-77.28333,31,,0,26.68
1994-71,A244,324,P05940428324,98,26,7,1994,26-Jul-94,33.73667,-77.25833,33,,0,26.77
1994-71,A244,324,P05940429324,98,26,7,1994,26-Jul-94,33.73333,-77.25833,31,,0,26.77
1994-75,A244,324,P05940452324,105,9,8,1994,09-Aug-94,31.69,-80.32333,29,,0,25.64
1994-77,A244,324,P05940464324,91,9,8,1994,09-Aug-94,31.68167,-80.34333,27,,0,26.18
